Sigle cours;Enseignant;Note;MNOMA
O8;P10, P13;2.50;57218
O8;P10, P13;12.00;623519
O8;P10, P13;16.00;408526
O8;P10, P13;10.00;569411
O8;P10, P13;14.00;711531
O8;P10, P13;11.50;28546
O8;P10, P13;14.00;23719
O8;P10, P13;11.50;826702
O8;P10, P13;10.00;716378
O8;P10, P13;15.50;834851
O8;P10, P13;11.00;790567
O8;P10, P13;13.50;390628
O8;P10, P13;14.00;735856
O8;P10, P13;17.50;910131
O8;P10, P13;10.50;160326
O8;P10, P13;18.00;877582
O8;P10, P13;17.00;166225
O8;P10, P13;13.00;981601
O8;P10, P13;16.00;854865
O8;P10, P13;;78938
O8;P10, P13;19.00;437481
O8;P10, P13;11.50;823766
O8;P10, P13;10.50;741306
O9;P5;18.50;595655
O9;P5;19.00;772913
O9;P5;14.00;475630
O9;P5;12.50;912409
O9;P5;15.00;815936
O9;P5;18.00;876743
O9;P5;10.50;892600
O9;P5;16.50;352066
O9;P5;12.50;111676
O9;P5;14.00;623519
O9;P5;18.00;408526
O9;P5;10.00;569411
O9;P5;16.00;711531
O9;P5;14.50;28546
O9;P5;15.00;23719
O9;P5;13.00;826702
O9;P5;13.50;716378
O9;P5;18.00;834851
O9;P5;13.50;790567
O9;P5;15.00;390628
O9;P5;16.00;735856
O9;P5;17.50;910131
O9;P5;13.00;160326
O9;P5;14.50;877582
O9;P5;16.50;166225
O9;P5;14.50;981601
O9;P5;15.50;854865
O9;P5;1.00;78938
O9;P5;17.00;437481
O9;P5;12.00;823766
O9;P5;10.00;741306
OP16;P14;14.00;892600
OP16;P14;10.00;111676
OP16;P14;1.00;57218
OP16;P14;10.00;569411
OP16;P14;12.00;28546
OP16;P14;15.00;826702
OP16;P14;16.00;390628
OP16;P14;17.00;735856
OP16;P14;12.00;877582
OP16;P14;16.00;437481
OP16;P14;14.00;823766
OP16;P14;14.00;132904
OP17;P13;16.00;595655
OP17;P13;16.00;352066
OP17;P13;14.50;111676
OP17;P13;18.00;408526
OP17;P13;14.00;28546
OP17;P13;15.00;390628
OP17;P13;17.50;735856
OP17;P13;19.00;854865
OP17;P13;18.50;437481
OP17;P13;13.50;741306
OP17;P13;17.00;193139
OP17;P13;11.00;454138
OP17;P13;11.50;702507
OP17;P13;14.50;783726
OP17;P13;14.50;288453
OP17;P13;17.50;602224
OP17;P13;18.50;458118
OP17;P13;16.50;948374
O10;P15;12.50;595655
O10;P15;18.50;772913
O10;P15;10.50;475630
O10;P15;10.00;912409
O10;P15;12.50;815936
O10;P15;13.50;876743
O10;P15;13.00;892600
O10;P15;17.00;352066
O10;P15;13.50;111676
O10;P15;;57218
O10;P15;13.50;623519
O10;P15;16.50;408526
O10;P15;13.50;569411
O10;P15;16.00;711531
O10;P15;11.50;28546
O10;P15;15.50;23719
O10;P15;16.50;826702
O10;P15;12.00;716378
O10;P15;13.50;834851
O10;P15;13.50;790567
O10;P15;16.50;390628
O10;P15;16.00;735856
O10;P15;17.50;910131
O10;P15;14.00;160326
O10;P15;11.50;877582
O10;P15;16.50;166225
O10;P15;14.00;981601
O10;P15;14.50;854865
O10;P15;0.00;78938
O10;P15;12.50;437481
O10;P15;13.50;823766
O10;P15;12.50;741306
O10;P15;13.50;221783
O11;P11;17.00;595655
O11;P11;19.50;772913
O11;P11;16.00;475630
O11;P11;12.00;912409
O11;P11;17.00;815936
O11;P11;13.00;876743
O11;P11;12.00;892600
O11;P11;15.50;352066
O11;P11;13.00;111676
O11;P11;16.00;623519
O11;P11;16.00;408526
O11;P11;10.50;569411
O11;P11;16.00;711531
O11;P11;12.50;28546
O11;P11;14.00;23719
O11;P11;13.50;826702
O11;P11;10.50;716378
O11;P11;16.50;834851
O11;P11;11.00;790567
O11;P11;17.00;390628
O11;P11;16.50;735856
O11;P11;17.50;910131
O11;P11;12.00;160326
O11;P11;12.00;877582
O11;P11;18.00;166225
O11;P11;15.00;981601
O11;P11;17.00;854865
O11;P11;5.50;78938
O11;P11;16.50;437481
O11;P11;11.00;823766
O11;P11;12.00;741306
OP18;P14;18.00;772913
OP18;P14;13.00;815936
OP18;P14;17.00;352066
OP18;P14;12.00;111676
OP18;P14;10.00;623519
OP18;P14;18.00;408526
OP18;P14;14.00;569411
OP18;P14;12.00;28546
OP18;P14;14.00;834851
OP18;P14;16.00;390628
OP18;P14;11.00;877582
OP18;P14;15.00;981601
OP18;P14;19.00;854865
OP18;P14;17.00;437481
OP18;P14;12.00;823766
OP18;P14;15.00;741306
OP18;P14;18.00;41664
OP19;P5;14.50;595655
OP19;P5;17.50;772913
OP19;P5;15.50;815936
OP19;P5;15.00;352066
OP19;P5;15.50;408526
OP19;P5;14.50;711531
OP19;P5;13.00;716378
OP19;P5;17.50;910131
OP19;P5;15.00;166225
OP19;P5;12.50;981601
OP19;P5;16.50;854865
OP19;P5;1.00;78938
OP19;P5;12.50;437481
OP19;P5;15.00;221783
OP19;P5;14.00;602224
OP20;P16;11.00;876743
OP20;P16;12.50;892600
OP20;P16;16.00;352066
OP20;P16;8.00;57218
OP20;P16;18.00;623519
OP20;P16;18.00;408526
OP20;P16;13.00;569411
OP20;P16;16.00;711531
OP20;P16;14.00;28546
OP20;P16;15.00;390628
OP20;P16;12.00;823766
OP20;P16;15.00;193139
OP24;P16;11.00;57218
OP24;P16;12.00;569411
OP24;P16;18.50;41664
OP24;P16;14.00;193139
OP24;P16;16.00;454138
OP24;P16;16.00;132904
OP24;P16;17.50;371394
OP24;P16;13.50;221783
OP24;P16;19.50;782126
OP24;P16;16.00;458118
OP25;P17;10.00;595655
OP25;P17;20.00;772913
OP25;P17;18.50;475630
OP25;P17;17.00;815936
OP25;P17;10.00;892600
OP25;P17;10.00;716378
OP25;P17;16.00;910131
OP25;P17;16.00;981601
OP25;P17;17.00;309015
OP21;P1, P13;18.00;735856
OP21;P1, P13;17.50;877582
OP21;P1, P13;17.00;437481
OP21;P1, P13;16.50;454138
OP21;P1, P13;15.00;702507
OP21;P1, P13;17.50;783726
OP21;P1, P13;17.00;782126
OP21;P1, P13;17.50;458118
OP21;P1, P13;15.50;948374
OP21;P1, P13;14.00;875344
OP26;P18;11.50;892600
OP26;P18;16.00;716378
OP26;P18;9.00;160326
OP26;P18;17.00;166225
OP26;P18;13.50;132904
OP26;P18;17.50;371394
OP27;P18;15.00;912409
OP27;P18;15.50;390628
OP27;P18;15.50;854865
OP27;P18;15.00;488673
OP27;P18;15.50;845569
OP27;P18;16.50;371394
